,Country,Currency,Exchange_Rate
0,America,Dollar,1.0
1,Argentina,Peso,8.405692
2,Australia,Dollar,1.070835
3,Austria,Euro,0.760488
4,Belgium,Euro,0.760488
5,Brazil,Real,2.237937
6,Canada,Dollar,1.086126
7,Chile,Peso,591.4077
8,China,Yuan,6.143665
9,Czech Rep.,Koruna,21.09312
10,Denmark,Krone,5.640121
11,European Union,Euro,0.760488
12,Finland,Euro,0.760488
13,France,Euro,0.760488
14,Germany,Euro,0.760488
15,Greece,Euro,0.760488
16,Hong Kong,Dollar,7.750659
17,Hungary,Forint,239.2141
18,Iceland,Krona,116.928
19,India,Rupee,60.53497
20,Ireland,Euro,0.760488
21,Israel,Sheqel,3.575005
22,Italy,Euro,0.760488
23,Japan,Yen,104.182
24,Korea (South),Won,1013.056
25,Kuwait,Dinar,0.284485
26,Mexico,Peso,13.08679
27,Netherlands,Euro,0.760488
28,New Zealand,Dollar,1.1929
29,Norway,Krone,6.187769
30,Pakistan,Rupee,102.5065
31,Peru,Sol,2.847159
32,Philippines,Peso,43.48437
33,Poland,Zloty,3.201264
34,Portugal,Euro,0.760488
35,Romania,Leu,3.344094
36,Russia,Ruble,37.17437
37,Saudi Arabia,Riyal,3.750675
38,Singapore,Dollar,1.248927
39,Slovakia,Euro,0.760488
40,South Africa,Rand,10.66882
41,Spain,Euro,0.760488
42,Sweden,Krona,6.982663
43,Switzerland,Franc,0.917854
44,Taiwan,Dollar,29.91087
45,Thailand,Baht,31.97966
46,U.A.E.,Dirham,3.673087
47,Ukraine,Hryvnia,12.83265
48,United Kingdom,Pound,0.602288
